Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
76,92040,Issy-les-Moulineaux,https://fr.wikipedia.org/wiki/Issy-les-Moulineaux,Hauts-de-Seine,—,Île-de-France,67669,68451,65322,62316,52647
77,62193,Calais,https://fr.wikipedia.org/wiki/Calais,Pas-de-Calais,Sous-préfecture,Hauts-de-France,67571,73911,72589,75293,77333
78,33318,Pessac,https://fr.wikipedia.org/wiki/Pessac,Gironde,—,Nouvelle-Aquitaine,67339,63808,59223,57851,56143
79,68066,Colmar,https://fr.wikipedia.org/wiki/Colmar,Haut-Rhin,Préfecture,Grand Est,66970,69105,67257,66560,65136
80,91228,Évry-Courcouronnes,https://fr.wikipedia.org/wiki/Évry-Courcouronnes,Essonne,Préfecture,Île-de-France,66919,67967,65951,67138,63391
81,69259,Vénissieux,https://fr.wikipedia.org/wiki/Vénissieux,Métropole de Lyon,—,Auvergne-Rhône-Alpes,65502,65894,61183,56935,56061
82,94041,Ivry-sur-Seine,https://fr.wikipedia.org/wiki/Ivry-sur-Seine,Val-de-Marne,—,Île-de-France,65064,62052,58579,55583,50972
83,26362,Valence,https://fr.wikipedia.org/wiki/Valence,Drôme,Préfecture,Auvergne-Rhône-Alpes,64458,63714,62481,64803,64260
84,92024,Clichy,https://fr.wikipedia.org/wiki/Clichy,Hauts-de-Seine,—,Île-de-France,64410,61070,59240,58646,50179
85,29232,Quimper,https://fr.wikipedia.org/wiki/Quimper,Finistère,Préfecture,Bretagne,64385,62985,63360,63961,63238
86,92002,Antony,https://fr.wikipedia.org/wiki/Antony,Hauts-de-Seine,Sous-préfecture,Île-de-France,64263,62570,61624,61761,59855
87,18033,Bourges,https://fr.wikipedia.org/wiki/Bourges,Cher,Préfecture,Centre-Val de Loire,64186,64551,66666,71155,72480
88,83126,La Seyne-sur-Mer,https://fr.wikipedia.org/wiki/La_Seyne-sur-Mer,Var,—,Provence-Alpes-Côte d'Azur,63732,63936,63902,58252,60188
89,82121,Montauban,https://fr.wikipedia.org/wiki/Montauban,Tarn-et-Garonne,Préfecture,Occitanie,62945,60810,56887,55438,51855
90,59009,Villeneuve-d'Ascq,https://fr.wikipedia.org/wiki/Villeneuve-d'Ascq,Nord,—,Hauts-de-France,62868,63408,62308,61630,65042
92,93007,Le Blanc-Mesnil,https://fr.wikipedia.org/wiki/Le_Blanc-Mesnil,Seine-Saint-Denis,—,Île-de-France,62376,56783,52213,50910,46936
93,10387,Troyes,https://fr.wikipedia.org/wiki/Troyes,Aube,Préfecture,Grand Est,62088,61652,60009,61823,60958
94,93055,Pantin,https://fr.wikipedia.org/wiki/Pantin,Seine-Saint-Denis,—,Île-de-France,61929,57482,53060,53315,49919
95,94076,Villejuif,https://fr.wikipedia.org/wiki/Villejuif,Val-de-Marne,—,Île-de-France,60183,54753,56504,51410,47384
96,73065,Chambéry,https://fr.wikipedia.org/wiki/Chambéry,Savoie,Préfecture,Auvergne-Rhône-Alpes,59964,58919,58039,57420,55786
97,79191,Niort,https://fr.wikipedia.org/wiki/Niort,Deux-Sèvres,Préfecture,Nouvelle-Aquitaine,59854,58707,57607,58576,56663
98,83061,Fréjus,https://fr.wikipedia.org/wiki/Fréjus,Var,—,Provence-Alpes-Côte d'Azur,59719,52672,52532,52436,46801
99,92051,Neuilly-sur-Seine,https://fr.wikipedia.org/wiki/Neuilly-sur-Seine,Hauts-de-Seine,—,Île-de-France,59538,60361,62021,60454,59848
100,95585,Sarcelles,https://fr.wikipedia.org/wiki/Sarcelles,Val-d'Oise,Sous-préfecture,Île-de-France,59173,58587,57499,59594,57871
102,92023,Clamart,https://fr.wikipedia.org/wiki/Clamart,Hauts-de-Seine,—,Île-de-France,58576,52971,52408,51000,48572
103,56121,Lorient,https://fr.wikipedia.org/wiki/Lorient,Morbihan,Sous-préfecture,Bretagne,58329,57149,57706,58135,59189
104,11262,Narbonne,https://fr.wikipedia.org/wiki/Narbonne,Aude,Sous-préfecture,Occitanie,57587,54700,51869,51306,46510
105,93008,Bobigny,https://fr.wikipedia.org/wiki/Bobigny,Seine-Saint-Denis,Préfecture,Île-de-France,56927,53640,48496,48196,44079
106,77284,Meaux,https://fr.wikipedia.org/wiki/Meaux,Seine-et-Marne,Sous-préfecture,Île-de-France,56905,54991,53623,48466,49421
107,94046,Maisons-Alfort,https://fr.wikipedia.org/wiki/Maisons-Alfort,Val-de-Marne,—,Île-de-France,56799,55655,54186,53085,51103
108,83069,Hyères,https://fr.wikipedia.org/wiki/Hyères,Var,—,Provence-Alpes-Côte d'Azur,55858,55588,55402,54888,51417
109,56260,Vannes,https://fr.wikipedia.org/wiki/Vannes,Morbihan,Préfecture,Bretagne,55790,53352,52648,52984,51759
110,60057,Beauvais,https://fr.wikipedia.org/wiki/Beauvais,Oise,Préfecture,Hauts-de-France,55550,56254,54289,55230,55392
112,85191,La Roche-sur-Yon,https://fr.wikipedia.org/wiki/La_Roche-sur-Yon,Vendée,Préfecture,Pays de la Loire,54849,54372,52808,51124,49262
113,77108,Chelles,https://fr.wikipedia.org/wiki/Chelles,Seine-et-Marne,—,Île-de-France,54620,54917,53247,51035,45399
